objid,u,g,r,i,dered_u,dered_g,dered_r,dered_i,z,camcol,field,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,specobjid,specClass,z,objType,mag_0,mag_1,mag_2
587731870168776802,20.295197,18.588842,18.420309,18.169458,20.224058,18.536499,18.382345,18.140673,2.93155,5,150,20.269602,18.594604,18.419003,18.177431,18.072283,285642002681298944,3,2.93155,1,18.709314,18.596296,18.385094
587731873922809930,18.537777,18.289335,18.24181,18.155697,18.246868,18.075287,18.086565,18.037979,2.15804,4,88,18.53993,18.295053,18.24724,18.161842,17.971344,251020052034224128,3,2.15804,1,18.386343,18.304241,18.196735
587731874462499301,24.063389,21.351555,20.196119,20.092468,23.839155,21.186567,20.076456,20.001732,3.74448,5,131,24.114542,21.340212,20.212484,20.116316,19.962259,251583023798026240,4,3.74448,1,21.214184,20.016693,19.857765
587731886276149480,23.143972,20.834042,19.621338,19.541996,22.999849,20.727997,19.544426,19.483675,3.8092,3,169,23.036526,20.832031,19.620989,19.547464,19.589472,252427460631592960,4,3.8092,1,20.870798,19.651875,19.573227
587731891652067511,23.700369,19.6085,18.932766,18.766499,23.611597,19.543182,18.885393,18.730577,3.42403,5,279,23.438343,19.606447,18.92536,18.747231,18.721878,369803378122817536,4,3.42403,1,19.462879,18.861626,18.769022
587732050023416020,24.788528,20.322865,20.042252,19.761982,24.745035,20.290861,20.019041,19.744381,3.10255,4,194,24.91037,20.34861,20.127823,19.813334,19.785152,254960955153186816,4,3.10255,1,20.517107,20.088913,19.838472
587732050024661217,24.769371,21.330082,19.948977,19.896936,24.729824,21.300983,19.927872,19.880934,3.69274,4,213,24.50251,21.360041,20.028845,19.993832,19.99826,255241249198440448,4,3.69274,1,21.626141,20.181263,20.103683
587732050024661225,25.532827,21.411627,20.376036,20.193611,25.498241,21.386179,20.357578,20.179615,3.85081,4,213,25.476557,21.413504,20.374773,20.190731,20.236332,254960956436643840,3,3.85081,1,21.783146,20.795406,20.857182
587732051095781593,23.819567,20.604694,19.980131,19.855415,23.772593,20.570131,19.955063,19.836407,3.35231,6,173,23.700024,20.605547,19.962341,19.856907,19.7722,254396961614987264,3,3.35231,1,20.557983,20.03297,20.035706
587732053242413392,23.282846,21.784227,20.451841,19.567808,23.114992,21.660723,20.362265,19.499886,3.71368,2,160,23.293049,21.825974,20.501278,19.611761,19.56389,243419095247093760,0,3.71368,1,21.825571,20.506794,19.70599
587732053246542096,21.920181,19.708296,19.372396,19.29784,21.828856,19.641098,19.32366,19.260885,3.18376,2,223,21.918789,19.760681,19.443043,19.387333,19.417738,245107965143547904,4,3.18376,1,19.876892,19.441643,19.350769
587732054307963520,24.022594,21.197981,19.965464,19.822277,23.789951,21.026804,19.841312,19.728136,3.77859,4,35,23.897459,21.193243,19.972809,19.8402,19.727921,241448742702546944,3,3.77859,1,21.486725,20.134331,19.866648
587732134302449817,21.701731,19.131739,18.77689,18.644983,21.647127,19.09156,18.747749,18.622887,3.24761,1,46,21.720932,19.122,18.787239,18.65954,18.647461,832274214386925568,3,3.24761,1,19.337803,18.942747,18.819241
587732135915094380,22.993574,21.139107,19.902454,19.75913,22.96129,21.115353,19.885225,19.746067,4.00813,4,77,22.965919,21.125214,19.927513,19.788322,19.751307,245953890359443456,4,4.00813,1,21.384283,19.90625,19.536949
587738066194006116,19.513285,19.429298,19.501507,19.125895,19.336199,19.299002,19.407003,19.054235,2.0161,2,120,19.521332,19.446898,19.523668,19.146288,18.89463,526587487007539200,3,2.0161,1,19.35408,19.428703,19.090374
587738066730418578,23.231253,22.188818,20.406811,19.787432,23.029863,22.040638,20.299337,19.705938,2.25449,3,113,23.211443,22.220989,20.444595,19.841461,19.561014,526305771630100480,3,2.25449,1,22.448101,20.366413,19.575796
587738067274956906,26.261261,20.384743,19.342268,19.077135,25.425602,19.769873,18.896313,18.738981,3.60788,4,230,26.073399,20.399578,19.369175,19.116375,18.961327,528562454498639872,4,3.60788,1,20.845402,19.563492,19.223785
